,Caption,Brief Description,Algorithm,Jurisdiction,Application Areas,Cause of Action,Issues,Date Action Filed,New Activity,Link,Status
10,Basbanes v. Microsoft Corporation,"OpenAI and its financial backer Microsoft (MSFT.O), were sued on Jan 5, 2024, in Manhattan federal court by a pair of nonfiction authors who say the companies misused their work to train the artificial-intelligence models behind the popular chatbot ChatGPT and other AI-based services. Writers Nicholas Basbanes and Nicholas Gage told the court in a proposed class action, that the companies infringed their copyrights by including several of their books as part of the data used to train OpenAI's GPT large language model.",,US District Court for the Southern District of New York,"Copyright, Generative AI, Infringement, Intellectual Property",Copyright Infringement,Copyright Infringement,1/5/2024,1/18/2024,https://blogs.gwu.edu/law-eti/?page_id=10&pid=110,Active
11,Bauserman v. Unemployment Insurance Agency ;,"Class action against Michigan's Unemployment Insurance Agency's use of MiDAS (Michigan Integrated Data Automated System) that wrongfully accused 40,000 residents of fraud, resulting in civil penalties including seizure of tax refunds with a limited time to appeal, with claims court lawsuit seeking redress and to make this automated system illegal; lawsuit in federal court against agency officials and system developer",MIDAS,Federal: US Dist. Ct. E. D. Michigan,"Agency, Fraud, Unemployment Insurance","Due Process Clause, Negligence","Accountability, Lack of Human Review, Notice, Role of Expert Testimony, Socioeconomics Bias, Use of Race, Miscalculation",1/1/2013,10/20/2022,https://blogs.gwu.edu/law-eti/?page_id=10&pid=8,Closed (Settlement)
12,Berliner v. Nassau County,"Nassau residents brought a class action against the county for an inaccurate and incomplete property tax reassessment algorithm as unfair and unconstitutional, granted a preliminary injunction against the county using this reassessment for 2020 real property taxes, almost settling but for the question of legal fees",,State: New York-Nassau County,"Constitutional Law, Real Property, Tax","42 USC 1983, Due Process, Equal Protection, Preliminary Injunction","Lack of Human Review, Notice, Transparency in Change of Algorithm, Underperformance",4/30/2019,3/8/2021,https://blogs.gwu.edu/law-eti/?page_id=10&pid=4,Inactive
13,Bertuccelli v. Universal City Studios LLC,Court allows facial recognition expert to testify about his algorithmic facial reocnigtion analysis of the allegedly infringing and infringed masks to determine if a human would find them substantially similar,,Federal: US Dist. Ct. E.D. Louisiana,"Copyright, Intellectual Property","Copyright Infringement, Federal Rule of Evidence 702",Role of Expert Testimony,2/12/2019,6/14/2021,https://blogs.gwu.edu/law-eti/?page_id=10&pid=13,Inactive: Dismissed
14,"Broccolino v. Clearview AI, Inc.",,Clearview,Federal: US Dist Ct. S.D. New York; Transferred to US Dist. Ct. N.D. Illinois,Facial Recognition,,Privacy,3/12/2020,1/12/2021,https://blogs.gwu.edu/law-eti/?page_id=10&pid=31,Active
15,Brooks v. Commonwealth,The court dismissed the Virginia ACLU’s challenge to the risk assessment tool because the algorithm was only advisory in nature,,State: Circuit Court of the City of Waynesboro Virginia,"Criminal Justice, Recidivism, Sentencing",Due Process,"Use of Race, AI Adjacent",1/1/2004,,https://blogs.gwu.edu/law-eti/?page_id=10&pid=67,Inactive
16,"Burke v. Clearview AI, Inc.","Class transferred and consolidated into In re Clearview, complaint charged that Clearview violated BIPA, CCPA, Cal. commercial misappropriation, unjust enrichment and sought seeking injunctive relief, damages, restitution, disgorgement, and litigation costs",Clearview,Federal: US Dist. Ct. S.D. California; Transferred to US Dist Ct. S.D. New York; Transferred to US Dist. Ct. N.D. Illinois,Facial Recognition,"California Consumer Privacy Act, Illinois Biometric Information Privacy Act, Unjust Enrichment, Commercial Misappropriation",Privacy,2/27/2020,1/13/2021,https://blogs.gwu.edu/law-eti/?page_id=10&pid=23,Active
17,C.S. et al v. Saiki:,"Judge granted Oregon residents relying on in-home attendants an injunction against an aglorithm that vastly cut their hours, and ordered restoration of their previous algorithm that produced the expected hours for disabilities benefits while the state developed a new assessment algorithm",ANA-C; CNA-C,Federal: US Dist. Ct. D. Oregon,"Disabilities Benefits, Health, Public Benefits","Preliminary Injunction, Title II Americans with Disabilities Act","Lack of Scholarly Review, Transparency in Change of Algorithm",4/1/2017,12/12/2023,https://blogs.gwu.edu/law-eti/?page_id=10&pid=16,Active
18,Cahoo v. Fast Enterprises,Court denied granting Fast Enterprises' motion for dismissal on lack of subject matter jurisdiction,MiDAS,Federal: US Dist. Ct. E. D. Michigan,"Agency, Constitutional Law, Fraud, Unemployment Insurance",Due Process,"Accountability, Lack of Human Review, Lack of Remedy, Notice, Role of Expert Testimony, Socioeconomics Bias, Use of Race, Miscalculation",3/2/2017,3/18/2021,https://blogs.gwu.edu/law-eti/?page_id=10&pid=44,Active
19,Cahoo v. SAS Indus.,Court dismissed case against SAS for lack of subject matter jurisdiction,MiDAS,Federal: US Dist. Ct. E. D. Michigan,"Agency, Constitutional Law, Fraud, Unemployment Insurance",Due Process,"Accountability, Lack of Human Review, Lack of Remedy, Notice, Role of Expert Testimony, Socioeconomics Bias, Use of Race, Miscalculation",3/2/2017,8/11/2020,https://blogs.gwu.edu/law-eti/?page_id=10&pid=43,Inactive: Dismissed
20,"Calderon v. Clearview AI, Inc.","Violates BIPA; seeking injunctive relief (including deletion of data), statutory damages, and litigation costs",Clearview,Federal: US Dist Ct. S.D. New York; Transferred to US Dist. Ct. N.D. Illinois,Facial Recognition,BIPA,Privacy,2/13/2020,1/12/2021,https://blogs.gwu.edu/law-eti/?page_id=10&pid=30,Inactive
21,"Carmean v. Macy's Retail Holdings, Inc","Macy's use of Clearview violates BIPA, Ill. UDAP (both unfair and deceptive), Ill. invasion of privacy; seeking injunctive relief (including deletion of data and compliance monitoring), damages, litigation costs, and was not consolidated in the Clearview MDL.",Clearview,Federal: US Dist. Ct. N.D. Illinois,Facial Recognition,"Illinois Biometric Information Privacy Act, Illinois Unfair and Deceptive Acts",Privacy,8/5/2020,3/16/2021,https://blogs.gwu.edu/law-eti/?page_id=10&pid=28,Inactive
22,Carpenter v. McDonald’s Corporation,"Customer brought putative class action against fast food restaurant, asserting violation of Illinois Biometric Information Privacy Act (BIPA) by collecting customers’ voiceprint biometrics via artificial intelligence (AI) voice assistant technology in drive-through lanes and storing, disclosing, and disseminating biometric information without customers' consent.",,N.D. Illinois,Biometric Data,Biometric Information Privacy Act,Privacy,5/28/2021,7/14/2023,https://blogs.gwu.edu/law-eti/?page_id=10&pid=78,Closed (Settlement)
23,CCC Info. Servs. Inc. v. Tractable Inc.,Trial court denied defendant Tractable's motion to compel arbitration after Plaintiff CCC Information Services Inc. accused Tractable employees committed fraud to access CCC Info Services' proprietary software and then used this data to Tractable's advantage.,,Federal: US Dist. Ct. N.D. Illinois,"Agency, Intellectual Property, Licensing Agreement","Breach of Contract, Trademark infringement, Arbitration","Infringement, Transparency/Trade Secrecy",11/26/2018,11/3/2023,https://blogs.gwu.edu/law-eti/?page_id=10&pid=47,Active
24,"Chabon et al. v. Meta Platforms, Inc.","Authors Michael Chabon, David Henry Hwang, Matthew Klam, Rachel Louise Snyder, and Ayelet Waldman file suit on behalf of themselves and similarly situated authors against Meta Platforms, Inc. and affiliated entities, alleging that the defendants have engaged in direct copyright infringement, vicarious copyright infringement, unlawful removal of copyright management information, violation of the California unfair competition act, negligence, and unjust enrichment, by copying their works of authorship without authorization to train various versions of the generative AI tool LLaMA.",LLaMA,Federal: US Dist. Ct. N.D. Ca.,Generative AI,"Copyright Infringement, Negligence, Unjust Enrichment, Unfair Competition, 17 U.S.C. 1202 Removal of Copyright Management Information",Copyright Infringement,9/12/2023,12/7/2023,https://blogs.gwu.edu/law-eti/?page_id=10&pid=100,Active
25,Chabon et al. v. OpenAI,"Authors Michael Chabon, David Henry Hwang, Matthew Klam, Rachel Louise Snyder, and Ayelet Waldman file suit on behalf of themselves and similarly situated authors against OpenAI and affiliated entities, alleging that the defendants have engaged in direct copyright infringement, vicarious copyright infringement, unlawful removal of copyright management information, violation of the California unfair competition act, negligence, and unjust enrichment, by copying their works of authorship without authorization to train various versions of the generative AI tool ChatGPT.",ChatGPT,Federal: US Dist. Ct. N.D. Ca.,Generative AI,"Copyright Infringement, Negligence, Unjust Enrichment, Unfair Competition, 17 U.S.C. 1202 Removal of Copyright Management Information",Copyright Infringement,9/8/2023,9/8/2023,https://blogs.gwu.edu/law-eti/?page_id=10&pid=99,Active
26,"Concord Music Group, Inc. v. Anthropic PBC","A group of music publishers, including Concord Music Group, Inc., ABKCO Music, Inc., and many companies that are components of Universal Music Publishing Group, bring this copyright infringement action against generative AI developer Anthropic PBC. They claim that Anthropic has used lyrics in which they own copyright to train its generative AI models, and has created models that generate lyrics that are substantially similar to the lyrics in which the plaintiffs own copyright. The complaint includes counts of direct and indirect infringement, and removal of copyright management information.",Claude,Federal: U.S. Dist. Ct. M.D. Tenn.,Generative AI,Copyright Infringement,Copyright Infringement,10/18/2023,10/18/2023,https://blogs.gwu.edu/law-eti/?page_id=10&pid=103,Active
27,"Connecticut Fair Housing Center, et al. v. CoreLogic Rental Property Solutions",The Connecticut Fair Housing Center and the National Housing Law Project have filed a new lawsuit in the U.S. District Court for the District of Connecticut contending that CoreLogic Rental Property Solutions (“CoreLogic”) violates the Fair Housing Act by disproportionately disqualifying African-American and Latino applicants from securing housing based on discriminatory use of criminal records as rental criteria.,,U.S. District Court for the District of Connecticut,"Civil Rights, Housing","Fair Housing Act, Unfair and Deceptive Trade Practices","Lack of Remedy, Socioeconomics Bias, Use of Race",4/24/2018,8/4/2023,https://blogs.gwu.edu/law-eti/?page_id=10&pid=109,Active
28,"Dinerstein v. Google, LLC","Judge dismissed patient suit against Google and University of Chicago Medical Center over patient health records that the univeresity transferred to Google for machine learning data, arguing it was a prima facie violation of HIPAA, on appeal currently",,Federal: US Dist. Ct. N.D. Illinois,"Health, Privacy","Breach of Contract, CCPA, HIPAA","Personally identifiable Information, Terms of Service",6/26/2019,7/11/2023,https://blogs.gwu.edu/law-eti/?page_id=10&pid=14,Inactive
29,"Doe 1 v. Github, Inc.","Anonymous plaintiffs sue Github, Microsoft, and Open AI for alleged wrongs committed in training Codex and Copilot generative AI coding tools, including removal of copyright management information, breach of open-source license, unfair competition, and others","Copilot, Codex",Federal: US Dist. Ct. N.D. Ca.,Generative AI,"California Consumer Privacy Act, Negligence, 17 U.S.C. 1202 Removal of Copyright Management Information",Accountability,11/3/2022,7/26/2023,https://blogs.gwu.edu/law-eti/?page_id=10&pid=89,Active
30,"e-ventures Worldwide, LLC v. Google, Inc.","This lawsuit, brought in the Middle District of Florida, alleges that Google's statement that it does not censor search results is ""false, deceptive, and misleading,"" and thus violates the Lanham Act and the Florida Deceptive and Unfair Trade Practices Act. The plaintiff company argues that Google made all of its websites disappear from search results, and because Google dominates the search engine market, essentially made the plaintiff's website disappear from the internet. The court ultimately dismissed, stating that the First Amendment protected Google's decision making when displaying search results.",SEO,M.D. Fla.,"Advertising, Trading","Unfair and Deceptive Practices, Unfair and Deceptive Trade Practices",Targeted Advertising,11/4/2014,,https://blogs.gwu.edu/law-eti/?page_id=10&pid=84,Inactive: Judgment for D
31,Ewert v. Canada,Canada's Supreme Court ruled that Correctional Service of Canada breached their statutory duty to take all reasonable steps to learn how the algorithms did not account for indigenous populations when an inmate argued the that the psychological and risk assessment algorithms were invalid when applied to Indigenous inmates for lack of research,,International: Canada,"Criminal Justice, Recidivism","Corrections and Conditional Release Act, S.C. 1992, c. 20, s. 24(1)","Cross Culture Validity, Insufficient Research, Socioeconomics Bias, Use of Race, Unreliability/Miscalculationns",10/20/2014,6/13/2018,https://blogs.gwu.edu/law-eti/?page_id=10&pid=7,Inactive: Judgement for P
32,Flores v. Stanford,Action claiming that parole procedures violate due process because they are based in part on risk assessment algorithms and do not involve the assessment of individual files,,"Federal: U.S. District Court, S.D. New York","Criminal Justice, Detention and Release",Due Process,"Individualized Assessment, Lack of Human Review",3/20/2018,4/11/2022,https://blogs.gwu.edu/law-eti/?page_id=10&pid=68,Active
33,Force v. Facebook,"Suit dismissed against Facebook and cert denied by the Supreme Court, plaintiffs arguing that Facebook's algorithm suggests friends and groups based on similar interests, and highlights popular posts the user would like, and thus Facebook was providing the terrorist organization Hamas with means to reach an audience it would not otherwise have access to.",,Federal: US Dist. Ct. S.D. New York; Transferred to E.D.N.Y.,"Advertising, Social Media, Terrorism","Antiterrorism Act, Section 230","Lack of Remedy, Targeted Advertising",7/10/2016,5/18/2020,https://blogs.gwu.edu/law-eti/?page_id=10&pid=45,Inactive: cert denied
34,"Getty Images (US), Inc. v. Stability AI, Inc.","Leading stock image distributor sues developer of text-to-image generative AI model Stable Diffusion, alleging that many images in which it owns copyright have been used without authorization to train the model, and that its trademark has also been infringed through the appearance of the Getty Images watermark in images produced by Stable Diffusion as output.",Stable Diffusion,Federal: US Dist. Ct. D. Del.,Generative AI,"Copyright Infringement, Trademark infringement, Unfair and Deceptive Trade Practices, Unfair Competition, 17 U.S.C. 1202 Removal of Copyright Management Information",Copyright Infringement,2/3/2023,5/2/2023,https://blogs.gwu.edu/law-eti/?page_id=10&pid=94,Active
35,"Getty Images (US), Inc. v. Stability AI, Ltd.","Leading group of stock image companies sues developer of generative AI tool Stable Diffusion for copyright infringement, database right infringement, and trademark infringement.",Stable Diffusion,International - UK - High Court of Justice - Chancery Division - Intellectual Property List,Generative AI,Copyright Infringement,Copyright Infringement,1/16/2023,12/1/2023,https://blogs.gwu.edu/law-eti/?page_id=10&pid=87,Active
36,"Gonzalez v. Google, LLC","Family of Nohemi Gonzalez, a victim in the 2015 ISIS attacks in Paris, sued Google and YouTube under the Anti-Terrorism Act. Gonzalez asserts that Google should not be eligible for immunity under Section 230 because YouTube recommended ISIS videos to users and collected ad payments from said videos. Arguments heard by Supreme Court on 2/21/2023. A Per Curium decision was reached on 5/18/2023.",,Ninth Circuit,"Social Media, Terrorism",Antiterrorism Act,Accountability,6/14/2016,5/18/2023,https://blogs.gwu.edu/law-eti/?page_id=10&pid=83,Active
37,"Hall v. Clearview AI, Inc.","Conversion, violates BIPA, Ill. UDAP; seeking injunctive relief (including deletion of data and compliance monitoring), damages, and litigation costs",Clearview,Federal: US Dist. Ct. N.D. Illinois; Transferred to US Dist Ct. S.D. New York; Transferred to US Dist. Ct. N.D. Illinois,Facial Recognition,"BIPA, UDAP","Facial Recognition, Privacy",2/5/2020,8/12/2020,https://blogs.gwu.edu/law-eti/?page_id=10&pid=38,Active
38,Henderson v. Steinsburg,"Prisoner files Section 1983 challenge to denial of parole using COMPAS risk assessment report, claims COMPAS algorithm discriminates on basis of race in violation of Equal Protection Clause",COMPAS,Federal: US Dist. Ct. W.D. Wisconsin,"Criminal Justice, Sentencing","42 USC 1983, Equal Protection",Use of Race,7/16/2018,4/5/2021,https://blogs.gwu.edu/law-eti/?page_id=10&pid=2,Active
39,Houston Federation of Teachers v. Houston Independent School District,"Texas Supreme Court rules in favor of teachers' procedural due process objections to the school district not turning over the code of how the teacher VAM (value added model) ratings were calculated that resulting in employment terminations, pay raises, and tenure",EVAAS,Federal: US Dist. Ct. S.D. Texas,"Constitutional Law, Employment, Performance Assessment, Termination","42 USC 1983, Procedural Due Process","Accountability, Transparency/Trade Secrecy",4/30/2014,8/13/2017,https://blogs.gwu.edu/law-eti/?page_id=10&pid=17,Inactive: Judgement for P
40,Huckabee v. Meta Platforms,"A group of book authors seek to bring a class action on behalf of all owners of copyright in works that were used to train the large language models of defendants Meta Platforms, Microsoft, and Bloomberg, claiming copyright infringement, removal of copyright management information, conversion, negligence, and unjust enrichment.","BloombergGPT, LLaMA",Federal: US Dist. Ct. S.D.N.Y.,Generative AI,"Conversion, Copyright Infringement, Negligence, Unjust Enrichment, 17 U.S.C. 1202 Removal of Copyright Management Information",Copyright Infringement,10/17/2023,10/17/2023,https://blogs.gwu.edu/law-eti/?page_id=10&pid=104,Active
41,"Hudson v. Tesla, Inc.","Customer brought suit against Tesla for autonomous vehicle crash when his vehicle did not detect another vehicle, arguing that Tesla's advertising convinced customers that the autopilot could safely operate with minimal driver input and oversight",Autopilot,State: Florida,Autonomous Vehicles,"Breach of Implied Warranty, Florida’s Deceptive and Unfair Trade Practices Act, Negligence","False Positive Dilemma, Product Liability, Underperformance",10/30/2018,4/29/2021,https://blogs.gwu.edu/law-eti/?page_id=10&pid=26,Closed
42,IBM Corp. v. Indiana,"Algorithm-adjacent, this case involves electronic automation including statistical methods to determine eligibility for Indiana benefits programs, and after four appeals the Supreme Court ruled for the State who terminated a billion dollar contract with IBM after three years of performance issues.",,State: Indiana,"Disabilities Benefits, Health","Breach of Contract, Performance Metrics","Lack of Remedy, Underperformance, Unreliability/Miscalculationns, AI Adjacent",,12/9/2020,https://blogs.gwu.edu/law-eti/?page_id=10&pid=52,Active
43,In re BlueCrest Capital Mgmt Ltd.,SEC found both negligent and willful violations against BlueCrest for omissions and misstatements to both potential and existing investors and indpendent directors about the use of their Rates Management Trading in that it underperformed compared to live traders and misrepresented its high usage of the algorithm it had told investors was merely experimental.,RMT,Government: SEC Adjudication,"Investment, Trading","Negligence, Securities Act Section 17A, Willful Violation","Conflict of Interest, Failure to Disclosure, Misrepresentation to Client, Unaware of Use of Algorithm, Underperformance",12/8/2020,2/18/2022,https://blogs.gwu.edu/law-eti/?page_id=10&pid=11,Active
44,In Re Clearview Litigation,"The consolidation of ten multidistrict litigation class action lawsuits against Clearview AI for 1. violating BIPA 2. unjust enrichment and 3. violating the plaintiffs' civil rights: Calderon, Broccolino, McPherson, Burke, John, and Roberson from SDNY; Mutnick, Hall, and Marron in ND Ill; and Renderos in ND Cal. A case not consolidated was Carmean v. Macy's.",Clearview,Federal: US Dist. Ct. N.D. Illinois,"Biometric Data, Facial Recognition","BIPA, Civil Rights, Unjust Enrichment","Misrepresentation, Privacy",1/8/2021,11/30/2023,https://blogs.gwu.edu/law-eti/?page_id=10&pid=48,Active
45,In re Google Assistant Privacy Litigation,"The California District court allowed the proposed class action to pursue California Privacy law claims, and to refile consumer protection claims, for Google devices accepting ""False Accepts"" from their smartphone voice assistants and then illegally recording and disseminating the private conversations",,Federal: Northern District of California,Privacy,"Biometric Information Privacy Act, Commercial Misappropriation","Failure to Disclosure, Notice, Privacy",7/25/2019,,https://blogs.gwu.edu/law-eti/?page_id=10&pid=64,Active
46,In the Matter of [Juvenile Client],"Superior Court granted defendant's motion not to consider SAVRY (Structured Assessment of Violence and Risk in Youth) to calculate sentencing for felony assualt and possession of prohibted weapon because of a lack of research proving efficacy and racially targetted risk factors, declining to set precedent for future cases",SAVRY,State: Dist. of Columbia,"Criminal Justice, Sentencing",Federal Rule of Evidence 702,"Insufficient Research, Role of Expert Testimony, Socioeconomics Bias, Use of Race, Unreliability/Miscalculationns",9/20/2017,3/15/2018,https://blogs.gwu.edu/law-eti/?page_id=10&pid=6,Inactive: Judgement for D
47,"In the Matter of HireVue, Inc.","EPIC filed a complaint and request for investigation, injunction, and other relief with the FTC, arguing HireVue's opaque and proprietary tools were unproven, biased, and invasive as it claimed to measure ""cognitive ability,"" ""psychological traits,"" ""emotional intelligence,"" and ""social aptitudes"" of job applicants without using facial recognition technology.",HireVue,Government: FTC,"Employment, Facial Recognition, Hiring","FTC Act, Public Policy, Unfair and Deceptive Trade Practices","Lack of Scholarly Review, Programmer Bias, Transparency/Trade Secrecy, Use of Race, User of Gender",11/9/2019,1/21/2021,https://blogs.gwu.edu/law-eti/?page_id=10&pid=46,Active
48,"John v. Clearview AI, Inc.","Class transferred and consolidated into In re Clearview, complaint charged that Clearview violated BIPA, Cal. UDAP (unfair), Cal. right to publicity, Cal. Const. privacy, interference with K with social media companies, and unjust enrichment and sought seeking injunctive relief, damages, restitution, disgorgement, and litigation costs",Clearview,Federal: US Dist Ct. S.D. New York; Transferred to US Dist. Ct. N.D. Illinois,Facial Recognition,"BIPA, Contracts, Right to Privacy, UDAP, Right to Publicity, Unjust Enrichment",Privacy,5/4/2020,1/12/2021,https://blogs.gwu.edu/law-eti/?page_id=10&pid=24,Active
49,K.W. v. Armstrong,"Class action reached a settlment after the ACLU of Idaho sought injunctive relief against the Department of Healht and Welfare cutting disabilities services because of a trade secret algorithm, resulting in development of new ADS (algorithmic decision system) to calculate disabilities benefits, litigation ensues to define the scope of the settlement",,Federal: US Dist. Ct. D. Idaho,"Agency Budget, Constitutional Law, Disabilities Benefits, Health","42 C.F.R. § 431.210(b) Medicaid Adequate Notice, Preliminary Injunction","Assigned Budget Amount, Lack of Remedy, Transparency in Change of Algorithm, Transparency/Trade Secrecy",1/18/2012,3/24/2021,https://blogs.gwu.edu/law-eti/?page_id=10&pid=5,Active
50,"Kadrey v. Meta Platforms, Inc.","Authors Richard Kadrey, Sarah Silverman, and Christopher Golden sue Meta Platforms on behalf of themselves and all persons domiciled in the United States owning copyright in any work used as training data for the LLaMA language models, alleging copyright infringement, removal of copyright management information, unfair competition, unjust enrichment, and negligence.",LLaMA,Federal: US Dist. Ct. N.D. Ca.,Generative AI,"Copyright Infringement, Unjust Enrichment, Unfair Competition, 17 U.S.C. 1202 Removal of Copyright Management Information",Copyright Infringement,7/7/2023,1/16/2024,https://blogs.gwu.edu/law-eti/?page_id=10&pid=90,Active
51,Kisting-Leung v. Cigna Corp.,"Plaintiffs, consumers in California, filed a class action complaint alleging that the denial of certain medical claims by a national health insurance company using an algorithm constituted breach of the implied covenant of good faith and fair dealing, unjust enrichment, intentionally interfered with contractual relations, and violated California’s Unfair Competition Law. Wrongful claims denials can result in patients having to pay substantial out-of-pocket costs or even forgoing important procedures.",,US District Court for the Eastern District of California,"Civil Rights, Health","Breach of Contract, Contracts, Unjust Enrichment, Unfair Competition","Accountability, Individualized Assessment, Lack of Human Review, Lack of Remedy, Misuse of AI",7/24/2023,12/18/2023,https://blogs.gwu.edu/law-eti/?page_id=10&pid=113,Active
52,L. v. Alphabet,"A number of anonymous plaintiffs bring a class action suit against Alphabet, Inc. and related companies, alleging that their development of Bard, the AI chatbot, involves the conversion/theft of data, invasion of privacy, unfair competition, unjust enrichment, copyright infringement, and removal of copyright management information under the DMCA.",Bard,Federal: US Dist. Ct. N.D. Ca.,Generative AI,"Copyright Infringement, Right to Privacy, Unjust Enrichment, Unfair Competition, 17 U.S.C. 1202 Removal of Copyright Management Information",Copyright Infringement,7/11/2023,1/17/2024,https://blogs.gwu.edu/law-eti/?page_id=10&pid=88,Active
53,Li v. Liu,"Plaintiff sues for copyright infringement of an image created through prompting a generative AI tool; the court holds that the plaintiff is the author of that image, and awards damages and orders the defendant to post a public apology.",Stable Diffusion,China: Beijing Internet Court,Generative AI,Copyright Infringement,AI as Author,5/25/2023,11/27/2023,https://blogs.gwu.edu/law-eti/?page_id=10&pid=106,Inactive
